1.086087646484375000e+02,1.148202667236328125e+02,7.881171417236328125e+01,8.095790100097656250e+01,8.671499633789062500e+01
1.914041900634765625e+01,1.923256683349609375e+01,1.867071342468261719e+01,2.093778991699218750e+01,1.837962913513183594e+01
2.564095735549926758e+00,2.846506834030151367e+00,3.010672330856323242e+00,3.213637351989746094e+00,2.682406663894653320e+00
1.598605990409851074e+00,1.767794251441955566e+00,1.788980364799499512e+00,1.805038213729858398e+00,1.689982295036315918e+00
3.905568361282348633e+00,3.803205966949462891e+00,3.828085899353027344e+00,3.918764352798461914e+00,3.985930442810058594e+00
2.757904767990112305e+00,2.405498027801513672e+00,2.658839464187622070e+00,2.604938507080078125e+00,2.652962207794189453e+00
6.755225658416748047e-01,6.928651928901672363e-01,6.316686868667602539e-01,6.246950030326843262e-01,6.688477993011474609e-01
4.827077686786651611e-01,4.508361816406250000e-01,4.953989684581756592e-01,4.904552996158599854e-01,4.653589427471160889e-01
5.811176300048828125e-01,5.414841771125793457e-01,5.450986027717590332e-01,5.344431996345520020e-01,5.234409570693969727e-01
2.237887382507324219e-01,2.055605798959732056e-01,2.017498612403869629e-01,2.355650812387466431e-01,2.222496420145034790e-01
