5.322314071655273438e+01,6.917295074462890625e+01,5.594234848022460938e+01,7.322061157226562500e+01,7.219333648681640625e+01
1.381138706207275391e+01,1.433121490478515625e+01,1.433731937408447266e+01,1.317033100128173828e+01,1.410605812072753906e+01
2.060501337051391602e+00,2.296932935714721680e+00,2.491290569305419922e+00,2.457196950912475586e+00,2.147975683212280273e+00
1.299391746520996094e+00,1.137644529342651367e+00,1.130470156669616699e+00,1.315981507301330566e+00,1.318732619285583496e+00
2.772490978240966797e+00,2.865427732467651367e+00,2.916642189025878906e+00,2.907989978790283203e+00,2.859120845794677734e+00
1.835491418838500977e+00,1.836370229721069336e+00,1.979821801185607910e+00,1.800907731056213379e+00,1.743378162384033203e+00
4.687655568122863770e-01,4.772196710109710693e-01,4.587094187736511230e-01,4.945572912693023682e-01,4.590672254562377930e-01
3.220551908016204834e-01,3.640248775482177734e-01,3.364821076393127441e-01,3.445231020450592041e-01,3.482897579669952393e-01
3.920376002788543701e-01,3.987549841403961182e-01,4.143192470073699951e-01,4.238858222961425781e-01,4.196142852306365967e-01
1.650124192237854004e-01,1.617103964090347290e-01,1.480913311243057251e-01,1.471265852451324463e-01,1.552511453628540039e-01
